taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Plagiobothrys arizonicus,ITIS:31980,species,ITIS:31980,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Boraginaceae,Plagiobothrys,arizonicus,,lipstick plant
Plantago,ITIS:32870,genus,ITIS:32870,accepted,2011-09-22,NA,NA,NA,NA,NA,NA,,,plantain
Plantago ovata,ITIS:504438,species,ITIS:504438,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,ovata,,desert Indianwheat
Plantago patagonica,ITIS:32907,species,ITIS:32907,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,patagonica,,woolly plantain
Poa annua,ITIS:41107,species,ITIS:41107,accepted,2010-11-30,Plantae,NA,Magnoliopsida,Poales,Poaceae,Poa,annua,,walkgrass
Poa bigelovii,ITIS:41112,species,ITIS:41112,accepted,2010-11-30,Plantae,NA,Magnoliopsida,Poales,Poaceae,Poa,bigelovii,,Bigelows bluegrass
Poaceae,ITIS:40351,family,ITIS:40351,accepted,2014-12-22,NA,NA,NA,NA,NA,NA,,,grasses
Polemoniaceae,ITIS:30896,family,ITIS:30896,accepted,2014-12-22,NA,NA,NA,NA,NA,NA,,,phlox
Pseudognaphalium,ITIS:500903,genus,ITIS:500903,accepted,2010-10-05,NA,NA,NA,NA,NA,NA,,,pseudognaphalium
Rafinesquia neomexicana,ITIS:38331,species,ITIS:38331,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Rafinesquia,neomexicana,,New Mexico plumeseed
Salsola tragus,ITIS:520950,species,ITIS:520950,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Caryophyllales,Amaranthaceae,Salsola,tragus,,tumbleweed
Salvia columbariae,ITIS:32707,species,ITIS:32707,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Lamiaceae,Salvia,columbariae,,chia
Schismus,ITIS:42064,genus,ITIS:42064,accepted,2010-11-30,NA,NA,NA,NA,NA,NA,,,Mediterranean grass
Schismus arabicus,ITIS:42065,species,ITIS:42065,accepted,2010-11-30,Plantae,NA,Magnoliopsida,Poales,Poaceae,Schismus,arabicus,,Arabian schismus
Schismus barbatus,ITIS:42066,species,ITIS:42066,accepted,2010-11-30,Plantae,NA,Magnoliopsida,Poales,Poaceae,Schismus,barbatus,,Mediterraneangrass
Silene antirrhina,ITIS:20045,species,ITIS:20045,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,antirrhina,,sleepy silene
Simmondsia chinensis,ITIS:28030,species,ITIS:28030,accepted,2012-09-26,Plantae,NA,Magnoliopsida,Caryophyllales,Simmondsiaceae,Simmondsia,chinensis,,jojoba
Sisymbrium irio,ITIS:23314,species,ITIS:23314,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Brassicales,Brassicaceae,Sisymbrium,irio,,rocketmustard
Sonchus,ITIS:38420,genus,ITIS:38420,accepted,2010-10-05,NA,NA,NA,NA,NA,NA,,,sowthistle
Sonchus oleraceus,ITIS:38427,species,ITIS:38427,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Sonchus,oleraceus,,sow thistle
Sphaeralcea coulteri,ITIS:21924,species,ITIS:21924,accepted,2020-08-28,Plantae,NA,Magnoliopsida,Malvales,Malvaceae,Sphaeralcea,coulteri,,Coulters globemallow
Stylocline gnaphaloides,ITIS:780520,species,ITIS:780520,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Stylocline,gnaphaloides,,mountain neststraw
Stylocline micropoides,ITIS:38473,species,ITIS:38473,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Stylocline,micropoides,,woollyhead neststraw
Uropappus lindleyi,ITIS:565589,species,ITIS:565589,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Uropappus,lindleyi,,Lindleys silverpuffs
Vulpia microstachys,ITIS:42262,species,ITIS:42262,accepted,2010-11-30,Plantae,NA,Magnoliopsida,Poales,Poaceae,Vulpia,microstachys,,twoflower fescue
Vulpia octoflora,ITIS:42264,species,ITIS:42264,accepted,2010-11-30,Plantae,NA,Magnoliopsida,Poales,Poaceae,Vulpia,octoflora,,sixweeks grass
